Number,Name,Types,Species,Description,Weight,Height,Stamina,Attack,Defense,Candy,CPGain,MaxCP,NormalMoves,SpecialMoves,EvolveFrom,EvolveInto
#031,Nidoqueen,"Poison,Ground",Pokémon Mũi Khoan,Nidoqueen có cơ thể to lớn với bộ giáp cực kì cứng giúp nó dễ dàng húc bay đối thủ. Nidoqueen trở nên rất đáng sợ khi có kẻ đụng vào con của nó.,60.0,1.3,180,184,190,,33.5,2485,"Poison Jab,Bite","Earthquake,Sludge Wave,Stone Edge",#030,
#032,Nidoran♂,Poison,Pokémon Gai Độc,Nidoran♂ có đôi tai cực lớn giúp nó nhận biết xung quanh và di chuyển một cách an toàn.,9.0,0.5,92,110,94,25,10.7,843,"Peck,Poison Sting","Horn Attack,Body Slam,Sludge Bomb",,#033
#033,Nidorino,Poison,Pokémon Gai Độc,"Nidorino có sừng cứng hơn cả kim cương. Khi cảm thấy nguy hiểm, gai lưng của nó thường dựng lên để chiến đấu.",19.5,0.9,122,142,128,100,18,1372,"Poison Jab,Poison Sting","Horn Attack,Dig,Sludge Bomb",#032,#034
#034,Nidoking,"Poison,Ground",Pokémon Mũi Khoan,"Với cái đuôi to lớn và mạnh mẽ có thể phá nát kim loại, rất ít pokémon có thể ngăn cản Nidoking khi nó nổi giận.",62.0,1.4,162,204,170,,33.3,2475,"Poison Jab,Fury Cutter","Earthquake,Sludge Wave,Megahorn",#033,
#035,Clefairy,Fairy,Pokémon Tiên,Clefairy thường xuất hiện vào đêm trăng tròn để chơi cùng đồng bọn và trở về tổ khi bình minh đến.,7.5,0.6,140,116,124,50,15.6,1200,"Pound,Zen Headbutt","Disarming Voice,Body Slam,Moonblast",,#036
#036,Clefable,Fairy,Pokémon Tiên,"Clefable có thể nhảy nhẹ nhàng bằng cặp cánh nhỏ của nó, kể cả trên nước. Nó thường đi dạo trên mặt hồ vào đêm trăng.",40.0,1.3,190,178,178,,32.3,2397,"Pound,Zen Headbutt","Dazzling Gleam,Psychic,Moonblast",#035,
#037,Vulpix,Fire,Pokémon Cáo,Vulpix có một đuôi khi sinh ra và dần dần mọc tới sáu đuôi khi lớn. Đuôi của nó rất cong và đẹp.,9.9,0.6,76,106,118,50,10.6,831,"Quick Attack,Ember","Body Slam,Flamethrower,Flame Charge",,#038
#038,Ninetales,Fire,Pokémon Cáo,Đôi mắt của Ninetales có thể phóng ra ánh sáng với khả năng điều khiển đối thủ. Ninetales được cho là có khả năng sống tới một ngàn năm.,19.9,1.1,146,176,194,,29.3,2188,"Feint Attack,Ember","Heat Wave,Flamethrower,Fire Blast",#037,
#039,Jigglypuff,"Normal,Fairy",Pokémon Bóng Bay,"Bằng vào khả năng điều chỉnh giọng của mình, giọng hát của Jigglypuff có khả năng ru ngủ đối thủ.",5.5,0.5,230,98,54,50,11.6,917,"Pound,Feint Attack","Disarming Voice,Body Slam,Play Rough",,#040
#040,Wigglytuff,"Normal,Fairy",Pokémon Bóng Bay,Wigglytuff có đôi mắt đẹp to tròn với một lớp nước mắt bảo vệ mắt nó khỏi bụi bẩn.,12.0,1,280,168,108,,29.1,2177,"Pound,Feint Attack","Dazzling Gleam,Hyper Beam,Play Rough",#039,
#041,Zubat,"Poison,Flying",Pokémon Dơi,Zubat có thể bị thiêu cháy dưới ánh sáng mặt trời nên nó thường trốn trong bóng tối vào ban ngày.,7.5,0.8,80,88,90,50,8,642,"Quick Attack,Bite","Poison Fang,Air Cutter,Sludge Bomb",,#042
#042,Golbat,"Poison,Flying",Pokémon Dơi,Golbat thường hút máu của động vật sống và nó thường hoạt động về đêm.,55.0,1.6,150,164,164,,25.6,1921,"Wing Attack,Bite","Poison Fang,Air Cutter,Ominous Wind",#041,
#043,Oddish,"Grass,Poison",Pokémon Cỏ,"Oddish thường chôn mình dưới đất để hấp thu chất dinh dưỡng. Càng nhiều chất dinh dưỡng được hấp thu, lá của nó càng sáng bóng.",5.4,0.5,90,134,130,25,14.9,1148,"Razor Leaf,Acid","Seed Bomb,Sludge Bomb,Moonblast",,#044
#044,Gloom,"Grass,Poison",Pokémon Cỏ,"Khi cảm thấy nguy hiểm, Gloom phóng thích mùi hôi từ nhuỵ của nó để đe doạ kẻ thù.",8.6,0.8,120,162,158,100,22.4,1689,"Razor Leaf,Acid","Petal Blizzard,Sludge Bomb,Moonblast",#043,#045
#045,Vileplume,"Grass,Poison",Pokémon Hoa,"Vileplume thường thả ra phấn độc gây dịnh ứng mỗi khi bị tiếp cận từ bông hoa xinh đẹp trên đầu nó. Vì vậy, tốt nhất nên tránh xa các bông hoa lớn và đẹp trong rừng.",18.6,1.2,150,202,190,,33.6,2492,"Razor Leaf,Acid","Petal Blizzard,Solar Beam,Moonblast",#044,
#046,Paras,"Bug,Grass",Pokémon Nấm,Paras có hai cây nấm sống kí sinh trên lưng nó. Chúng lớn lên bằng chất dinh dưỡng Paras hút từ cây lớn và là vị thuốc có giá trị giúp kéo dài tuổi thọ.,5.4,0.3,70,122,120,50,11.7,916,"Scratch,Bug Bite","Cross Poison,X Scissor,Seed Bomb",,#047
#047,Parasect,"Bug,Grass",Pokémon Nấm,Parasect thường tàn phá các cây lớn bằng việc sống và hút chất dinh dưỡng từ các gốc cây.,29.5,1,120,162,170,,23.2,1747,"Bug Bite,Fury Cutter","Cross Poison,X Scissor,Solar Beam",#046,
#048,Venonat,"Bug,Poison",Pokémon Côn Trùng,"Venonat có một bộ lông xù, mỏng và cứng giúp bảo vệ cơ thể của nó. Đôi mắt lớn giúp nó phát hiện con mồi dù rất nhỏ.",30.0,1,120,108,118,50,13.3,1029,"Bug Bite,Confusion","Psybeam,Dazzling Gleam,Shadow Ball",,#049
#049,Venomoth,"Bug,Poison",Pokémon Bướm Đêm,Venomoth sống về đêm và thường săn bắt côn trùng nhỏ. Nó thường bị hấp dẫn bởi những đốm ánh sáng vào ban đêm.,12.5,1.5,140,172,154,,25.2,1890,"Bug Bite,Confusion","Poison Fang,Psychic,Bug Buzz",#048,
#050,Diglett,Ground,Pokémon Chuột Chũi,Diglett thường chôn mình dưới đất và sống trong các trang trại. Nhờ có nó mà đất rất màu mỡ và thích hợp để trồng cây.,0.8,0.2,20,108,86,50,5.3,456,"Mud Shot,Scratch","Dig,Mud Bomb,Rock Tomb",,#051
#051,Dugtrio,Ground,Pokémon Chuột Chũi,Dugtrio có ba đầu trên một cơ thể giúp nó phối hợp đào đất nhanh hơn.,33.3,0.7,70,148,140,,15.1,1168,"Sucker Punch,Mud Shot","Earthquake,Mud Bomb,Stone Edge",#050,
#052,Meowth,Normal,Pokémon Mèo Cào,Meowth thu bộ vuốt của nó lại để di chuyển nhẹ nhàng hơn. Nó rất thích các đồng tiền sáng lấp lánh.,4.2,0.4,80,104,94,50,9.6,756,"Scratch,Bite","Night Slash,Dark Pulse,Body Slam",,#053
#053,Persian,Normal,Pokémon Mèo,Bộ ria của Persian giúp nó trông mạnh mẽ hơn và giúp nó cảm nhận không khí xung quanh. Nhưng bộ ria cũng là điểm yếu của nó khi bị chạm vào.,32.0,1,130,156,146,,21.6,1631,"Scratch,Feint Attack","Night Slash,Power Gem,Play Rough",#052,
#054,Psyduck,Water,Pokémon Vịt,Psyduck có năng lực bí ẩn phát ra sóng não chỉ xuất hiện khi ngủ. Nhưng điều này còn gây tranh cãi khá nhiều giữa các nhà nghiên cứu.,19.6,0.8,100,132,112,50,14.4,1109,"Water Gun,Zen Headbutt","Psybeam,Aqua Tail,Cross Chop",,#055
#055,Golduck,Water,Pokémon Vịt,"Màng tay, chân và cơ thể dạng thuỷ động học giúp Golduck bơi rất nhanh dưới nước.",76.6,1.7,160,194,176,,32.1,2386,"Water Gun,Confusion","Psychic,Hydro Pump,Ice Beam",#054,
#056,Mankey,Fighting,Pokémon Khỉ Heo,Thở mạnh là dấu hiệu cho thấy Mankey đang nổi giận. Không có bất cứ ai có thể thoát khỏi cơn thịnh nộ của nó.,28.0,0.5,80,122,96,50,11.2,878,"Karate Chop,Scratch","Cross Chop,Low Sweep,Brick Break",,#057
#057,Primeape,Fighting,Pokémon Khỉ Heo,"Khi Primeape nổi giận, máu trong cơ thể nó vận chuyển nhanh hơn làm tăng sức mạnh cơ bắp nhưng cũng khiến nó trở nên khá ngu ngốc.",32.0,1,130,178,150,,24.8,1864,"Low Kick,Karate Chop","Cross Chop,Low Sweep,Night Slash",#056,
#058,Growlithe,Fire,Pokémon Chó Con,Growlithe có khả năng đánh hơi và ghi nhớ mùi mạnh mẽ. Khứu giác của nó còn có khả năng nhận biết được cảm xúc của sinh vật sống khác.,19.0,0.7,110,156,110,50,17.5,1335,"Ember,Bite","Flame Wheel,Body Slam,Flamethrower",,#059
#059,Arcanine,Fire,Pokémon Huyền Thoại,Arcanine được biết đến với khả năng chạy kì nhanh dựa vào nguồn năng lượng lửa bên trong cơ thể nó.,155.0,1.9,180,230,180,,40.5,2983,"Fire Fang,Bite","Fire Blast,Flamethrower,Bulldoze",#058,
#060,Poliwag,Water,Pokémon Nòng Nọc,Poliwag có da mỏng nhưng cũng rất mềm dẻo đủ để giúp nó chống lại những chiếc răng nanh bén nhọn.,12.4,0.6,80,108,98,25,10.1,795,"Bubble,Mud Shot","Bubble Beam,Mud Bomb,Body Slam",,#061
#061,Poliwhirl,Water,Pokémon Nòng Nọc,Bề mặt da của Poliwhirl khá trơn và nhầy giúp nó có thể trượt và tránh đòn dễ dàng trong chiến đấu.,20.0,1,130,132,132,100,17.6,1340,"Bubble,Mud Shot","Scald,Mud Bomb,Bubble Beam",#060,#062
#062,Poliwrath,"Water,Fighting",Pokémon Nòng Nọc,Poliwrath có cơ bắp cực kì mạnh mẽ và không biết mệt mỏi giúp nó có thể dễ dàng bơi xuyên đại dương.,54.0,1.3,180,180,202,,33.8,2505,"Bubble,Mud Shot","Hydro Pump,Submission,Ice Punch",#061,
#063,Abra,Psychic,Pokémon Tâm Linh,Abra ngủ 18 giờ một ngày nhưng nó vẫn có thể cảm nhận nguy hiểm xung quanh và dịch chuyển để bỏ chạy.,19.5,0.9,50,110,76,25,7.4,600,Zen Headbutt,"Psyshock,Signal Beam,Shadow Ball",,#064
#064,Kadabra,Psychic,Pokémon Tâm Linh,"Kadabra luôn phát ra một luồng sóng alpha xung quanh nó gây nhức đầu cho người khác. Vì vậy, chỉ có những nhà huấn luyện có năng lực tâm linh mạnh mẽ mới điều khiển được nó.",56.5,1.3,80,150,112,100,14.6,1131,"Psycho Cut,Confusion","Psybeam,Dazzling Gleam,Shadow Ball",#063,#065
#065,Alakazam,Psychic,Pokémon Tâm Linh,Não của Alakazam phát triển liên tục khiến cho đầu ngày càng to ra đến mức nó phải dùng năng lực tâm linh để nâng đầu lên.,48.0,1.5,110,186,152,,24.1,1813,"Psycho Cut,Confusion","Psychic,Dazzling Gleam,Shadow Ball",#064,
#066,Machop,Fighting,Pokémon Sức Mạnh,Cơ bắp của Machop không bao giờ cảm thấy mệt mỏi trong khi sức mạnh của nó đủ để nâng hàng trăm người.,19.5,0.8,140,118,96,25,14.1,1089,"Low Kick,Karate Chop","Low Sweep,Brick Break,Cross Chop",,#067
#067,Machoke,Fighting,Pokémon Sức Mạnh,Machoke luôn rèn luyện cơ bắp của nó trở nên cứng như thép. Nó có thể dễ dàng nâng một Sumo chỉ bằng một ngón tay.,70.5,1.5,160,154,144,100,23.4,1760,"Low Kick,Karate Chop","Submission,Brick Break,Cross Chop",#066,#068
#068,Machamp,Fighting,Pokémon Sức Mạnh,Machamp có đủ sức mạnh để quăng bất cứ thứ gì. Nhưng do có bốn tay mà không suy nghĩ trước khi làm khiến tay của nó thường vướng với nhau.,130.0,1.6,180,198,180,,35,2594,"Bullet Punch,Karate Chop","Stone Edge,Submission,Cross Chop",#067,
#069,Bellsprout,"Grass,Poison",Pokémon Hoa,"Với cơ thể nhỏ và mêm dẽo, Bellsprout có thể dễ dàng né tránh các đòn đánh. Còn miệng của nó thì có khả năng phun ra chất dịch có thể ăn mòn cả sắt.",4.0,0.7,100,158,78,25,14.4,1117,"Vine Whip,Acid","Power Whip,Sludge Bomb,Wrap",,#070
#070,Weepinbell,"Grass,Poison",Pokémon Đớp Ruồi,Weepinbell có một cái móc nhỏ trên đầu giúp nó treo lơ lửng trên cây khi ngủ. Dù nó cỏ thể dễ dàng rơi xuống đất khi nhúc nhích.,6.4,1,130,190,110,100,22.8,1723,"Razor Leaf,Acid","Power Whip,Sludge Bomb,Seed Bomb",#069,#071
#071,Victreebel,"Grass,Poison",Pokémon Đớp Ruồi,Victreebel có những sợi dây leo dài trên đầu giúp nó hấp dẫn con mồi và nuốt chửng chúng.,15.5,1.7,160,222,152,,34.1,2530,"Razor Leaf,Acid","Leaf Blade,Sludge Bomb,Solar Beam",#070,
#072,Tentacool,"Water,Poison",Pokémon Sứa,Cơ thể của Tentacool được cấu thành từ nước và dễ dàng khô lại rong không khí nên chúng chỉ có thể sống dưới biển.,45.5,0.9,80,106,136,50,11.6,905,"Bubble,Poison Sting","Bubble Beam,Water Pulse,Wrap",,#073
#073,Tentacruel,"Water,Poison",Pokémon Sứa,Hai quả cầu trên đầu Tentacruel có khả năng phát ra sóng siêu âm cực mạnh để tấn công đối thủ xung quanh.,55.0,1.6,160,170,196,,29.8,2220,"Acid,Poison Jab","Hydro Pump,Sludge Wave,Blizzard",#072,
#074,Geodude,"Rock,Ground",Pokémon Đá,Geodude sống càng lâu thì cơ thể nó càng trở nên trơn và tròn.,20.0,0.4,80,106,118,25,10.8,849,"Rock Throw,Tackle","Rock Slide,Rock Tomb,Dig",,#075
#075,Graveler,"Rock,Ground",Pokémon Đá,Graveler dùng đá làm thức ăn và ăn một lượng lớn mỗi ngày. Món yêu thích của nó là đá có rêu.,105.0,1,110,142,156,100,18.8,1433,"Rock Throw,Mud Shot","Dig,Stone Edge,Rock Slide",#074,#076
#076,Golem,"Rock,Ground",Pokémon Siêu Trọng,Golem thường sống trên núi. Do ảnh hưởng của động đất mà chúng có thể lăn xuống núi và tàn phá tất cả trên đường đi.,300.0,1.4,160,176,198,,30.9,2303,"Rock Throw,Mud Shot","Stone Edge,Ancient Power,Earthquake",#075,
#077,Ponyta,Fire,Pokémon Ngựa Lửa,Ponyta khá yếu khi còn nhỏ và dần trở nên mạnh hơn sau nhiều cố gắng để chạy theo mẹ của chúng.,30.0,1,100,168,138,50,20,1516,"Tackle,Ember","Flame Charge,Flame Wheel,Fire Blast",,#078
#078,Rapidash,Fire,Pokémon Ngựa Lửa,Rapidash thường xuất hiện tại cánh đồng hoặc thảo nguyên. Chúng có thể phi cực nhanh bằng vào năng lượng toả ra từ cái bờm đầy lửa của mình.,95.0,1.7,130,200,170,,29.5,2199,"Low Kick,Ember","Fire Blast,Drill Run,Heat Wave",#077,
#079,Slowpoke,"Water,Psychic",Pokémon Ngốc,Slowpoke dùng đuôi của nó để bắt cá nhưng nó rất hay quên và thường nằm cả ngày bên bờ sông.,36.0,1.2,180,110,110,50,15.9,1218,"Water Gun,Confusion","Water Pulse,Psyshock,Psychic",,#080
#080,Slowbro,"Water,Psychic",Pokémon Cua,"Slowpoke tiến hoá thành Slowbro sau khi bị Shellder cắn vào đuôi nó. Vì vậy, nó không thể câu cá nữa mà phải tự bơi đi kiếm ăn.",78.5,1.6,190,184,198,,35.1,2597,"Water Gun,Confusion","Water Pulse,Psychic,Ice Beam",#079,
#081,Magnemite,"Electric,Steel",Pokémon Nam Châm,Magnemite sống dựa trên các nguồn điện nên chúng thường bám vào các đường đây điện hoặc cấu chì.,6.0,0.3,50,128,138,50,11.3,890,"Spark,Thunder Shock","Discharge,Magnet Bomb,Thunderbolt",,#082
#082,Magneton,"Electric,Steel",Pokémon Nam Châm,Magneton thường phóng ra các luồng từ tính mạng làm nhiễu sóng radio và gây hại tới các thiết bị điện tử.,60.0,1,100,186,180,,25,1879,"Spark,Thunder Shock","Discharge,Magnet Bomb,Flash Cannon",#081,
#083,Farfetch'd,"Normal,Flying",PokémonVịt,Farfetch'd thường cầm một cây hành bên người để ăn cũng như làm vũ khí.,15.0,0.8,104,138,132,,16.5,1263,"Cut,Fury Cutter","Aerial Ace,Air Cutter,Leaf Blade",,
#084,Doduo,"Normal,Flying",Pokémon Song Điểu,Hai đầu của Doduo luôn thay nhau ngủ để đề phòng kẻ thù xung quanh.,39.2,1.4,70,126,96,50,10.9,855,"Peck,Quick Attack","Drill Peck,Aerial Ace,Swift",,#085
#085,Dodrio,"Normal,Flying",Pokémon Tam Điểu,Khi mà ba đầu của Dodrio nhìn theo ba hướng khác nhau thì tốt nhất không nên lại gần vì chúng đang rất cảnh giác xung quanh và có thể tấn công bạn.,85.2,1.8,120,182,150,,24.4,1836,"Feint Attack,Steel Wing","Drill Peck,Aerial Ace,Air Cutter",#084,
#086,Seel,Water,Pokémon Sư Tử Biển,Seel thích sống và bơi trong môi trường lạnh. Chiếc sừng nhô ra ở đầu nó rất cứng và có thể xuyên thủng lớp băng dày.,90.0,1.1,130,104,138,50,14.3,1107,"Ice Shard,Water Gun","Aqua Jet,Icy Wind,Aqua Tail",,#087
#087,Dewgong,"Water,Ice",Pokémon Sư Tử Biển,Dewgong thích ngủ trong môi trường băng lạnh. Thỉnh thoảng nó nằm trên những tảng băng trôi và từng bị nhìn nhầm là nàng tiên cá bởi các thủy thủ.,120.0,1.7,180,156,192,,28.7,2145,"Frost Breath,Ice Shard","Icy Wind,Aqua Jet,Blizzard",#086,
#088,Grimer,Poison,Pokémon Bùn,"Cơ thể nhớt nhợt của Grimer có thể lách qua bất cứ khe hở nào, cho dù nó có nhỏ đến đâu. Nó thích uống nước thải từ các cống rãnh.",30.0,0.9,160,124,110,50,16.8,1284,"Acid,Mud Slap","Sludge,Mud Bomb,Sludge Bomb",,#089
#089,Muk,Poison,Pokémon Bùn,Toàn bộ cơ thể của Muk được bao quanh bởi một lớp bùn quánh độc hại. Chỉ một giọt dịch cơ thể của nó cũng đủ làm ô nhiễm một hồ nước.,30.0,1.2,210,180,188,,35.1,2602,"Acid,Poison Jab","Dark Pulse,Gunk Shot,Sludge Wave",#088,
#090,Shellder,Water,Pokémon Vỏ Sò,"Vỏ của Shellder cứng hơn cả kim cương, có thể chịu được mọi đòn tấn công. Vào ban đêm, nó dùng chiếc lưỡi để đào một hốc nhỏ trên bề mặt đáy biển để ngủ.",4.0,0.3,60,120,112,50,10.4,822,"Ice Shard,Tackle","Bubble Beam,Water Pulse,Icy Wind",,#091
